Number_of_card;Card_name;Is_in_sideboard
1;Wooded Foothills;0
1;Stonecoil Serpent;0
1;Fyndhorn Elves;0
1;Cemetery Gatekeeper;0
1;Tarmogoyf;0
1;Outland Liberator;0
1;Fauna Shaman;0
1;Bonecrusher Giant;0
1;Augur of Autumn;0
1;Reclamation Sage;0
1;Briarbridge Tracker;0
1;Toski, Bearer of Secrets;0
1;Glorybringer;0
1;Zealous Conscripts;0
1;Primeval Titan;0
1;Dragonlord Atarka;0
1;Ulamog, the Ceaseless Hunger;0
1;Den of the Bugbear;0
1;Cragcrown Pathway;0
1;Stomping Ground;0
1;Mutavault;0
1;Wooded Foothills;0
2;Mountain;0
7;Forest;0
1;Skullclamp;0
1;Sensei's Divining Top;0
1;Eater of Virtue;0
1;Abrade;0
1;Shatterskull Smashing;0
1;Grafted Wargear;0
1;Birthing Pod;0
1;Arlinn, the Pack's Hope;0
1;Through the Breach;0
1;Maze of Ith;1
1;Needleverge Pathway;1
1;Traverse the Ulvenwald;1
1;Falkenrath Pit Fighter;1
1;Altar of Dementia;1
1;Finale of Devastation;1
1;Adanto Vanguard;1
1;Basalt Monolith;1
1;Spike Feeder;1
1;Heliod, Sun-Crowned;1
1;Recruiter of the Guard;1
1;Falkenrath Aristocrat;1
1;Supreme Verdict;1
1;Omnath, Locus of Creation;1
