Number_of_card;Card_name;Is_in_sideboard
1;Ragavan, Nimble Pilferer;0
1;Elvish Reclaimer;0
1;Llanowar Elves;0
1;Ignoble Hierarch;0
1;Adanto Vanguard;0
1;Outland Liberator;0
1;Sakura-Tribe Elder;0
1;Laelia, the Blade Reforged;0
1;Dryad of the Ilysian Grove;0
1;Augur of Autumn;0
1;Reclamation Sage;0
1;Pia and Kiran Nalaar;0
1;Magus of the Order;0
1;Questing Beast;0
1;Primeval Titan;0
1;Plateau;0
1;Needleverge Pathway;0
1;Sacred Foundry;0
1;Golgari Rot Farm;0
1;Blooming Marsh;0
1;Field of the Dead;0
1;Rishadan Port;0
1;Wasteland;0
1;Arid Mesa;0
1;Misty Rainforest;0
1;Scalding Tarn;0
4;Forest;0
1;Mountain;0
1;Traverse the Ulvenwald;0
1;Sensei's Divining Top;0
1;Once Upon a Time;0
1;Wrenn and Six;0
1;Assassin's Trophy;0
1;Crucible of Worlds;0
1;Garruk Relentless;0
1;Esika's Chariot;0
1;Garruk Wildspeaker;0
1;Needle Spires;1
1;Hive of the Eye Tyrant;1
1;Carrion Feeder;1
1;Dauthi Voidwalker;1
1;Bloodghast;1
1;Jadar, Ghoulcaller of Nephalia;1
1;Kolaghan's Command;1
1;Armageddon;1
1;Natural Order;1
1;Emeria's Call;1
