Number_of_card;Card_name;Is_in_sideboard
1;Dauthi Voidwalker;0
1;Young Pyromancer;0
1;Ophiomancer;0
1;Bonecrusher Giant;0
1;Rankle, Master of Pranks;0
1;Yawgmoth, Thran Physician;0
1;Glorybringer;0
1;Fury;0
1;Wurmcoil Engine;0
1;Kozilek, Butcher of Truth;0
1;Emrakul, the Aeons Torn;0
1;Lotus Petal;0
1;Forgotten Cave;0
1;Lavaclaw Reaches;0
1;Ancient Tomb;0
1;Rishadan Port;0
4;Mountain;0
7;Swamp;0
1;Bloodchief's Thirst;0
1;Inquisition of Kozilek;0
1;Thoughtseize;0
1;Fatal Push;0
1;Mind Twist;0
1;Bitterblossom;0
1;Dismember;0
1;Toxic Deluge;0
1;Recurring Nightmare;0
1;Chandra, Acolyte of Flame;0
1;Chandra, Torch of Defiance;0
1;Sneak Attack;0
1;Through the Breach;0
1;Concealed Courtyard;1
1;Knight of the Ebon Legion;1
1;Gravecrawler;1
1;Soul-Scar Mage;1
1;Falkenrath Gorger;1
1;Sensei's Divining Top;1
1;Finale of Devastation;1
1;Channel;1
1;Explore;1
1;Priest of Fell Rites;1
1;Phyrexian Revoker;1
1;Liquimetal Torque;1
1;Liliana, the Last Hope;1
1;Rotting Regisaur;1
1;Mayhem Devil;1
1;Heirloom Blade;1
1;Opposition;1
1;Cryptic Command;1
1;Craterhoof Behemoth;1
1;Hornet Queen;1
1;Sphinx of the Steel Wind;1
