Number_of_card;Card_name;Is_in_sideboard
1;Bloodsoaked Champion;0
1;Cryptbreaker;0
1;Ragavan, Nimble Pilferer;0
1;Goblin Guide;0
1;Flametongue Yearling;0
1;Robber of the Rich;0
1;Kari Zev, Skyship Raider;0
1;Goblin Cratermaker;0
1;Metallic Mimic;0
1;Legion Warboss;0
1;Pia and Kiran Nalaar;0
1;Zealous Conscripts;0
1;Castle Embereth;0
1;Blood Crypt;0
1;Lavaclaw Reaches;0
1;Bloodstained Mire;0
7;Mountain;0
5;Swamp;0
1;Faithless Looting;0
1;Light Up the Night;0
1;Firebolt;0
1;Flame Slash;0
1;Infernal Grasp;0
1;Collective Brutality;0
1;Searing Spear;0
1;Sulfuric Vortex;0
1;Chandra, Acolyte of Flame;0
1;Kolaghan's Command;0
1;Daretti, Ingenious Iconoclast;0
1;Heirloom Blade;0
1;Misty Rainforest;1
1;Copperline Gorge;1
1;Concealed Courtyard;1
1;Fyndhorn Elves;1
1;Knight of the Ebon Legion;1
1;Gutterbones;1
1;Vampiric Tutor;1
1;Dark Ritual;1
1;Izzet Charm;1
1;Devoted Druid;1
1;Dreadhorde Arcanist;1
1;Goblin Engineer;1
1;Shallow Grave;1
1;Priest of Forgotten Gods;1
1;Dauthi Voidwalker;1
1;Life // Death;1
1;Wheel of Fortune;1
1;Necromancy;1
1;Corpse Dance;1
