Number_of_card;Card_name;Is_in_sideboard
1;Grim Lavamancer;0
1;Falkenrath Pit Fighter;0
1;Blazing Rootwalla;0
1;Rakdos Cackler;0
1;Bomat Courier;0
1;Dark Confidant;0
1;Embereth Shieldbreaker;0
1;Kari Zev, Skyship Raider;0
1;Scrapheap Scrounger;0
1;Metallic Mimic;0
1;Lore Seeker;0
1;Porcelain Legionnaire;0
1;Goblin Rabblemaster;0
1;Hanweir Garrison;0
1;Legion Warboss;0
1;Hellrider;0
1;Falkenrath Aristocrat;0
1;Lodestone Golem;0
1;Fury;0
1;Chrome Mox;0
1;Forgotten Cave;0
1;Mutavault;0
1;Fabled Passage;0
1;Wasteland;0
1;Mishra's Factory;0
2;Swamp;0
6;Mountain;0
1;Chain Lightning;0
1;Bonesplitter;0
1;Shatterskull Smashing;0
1;Umezawa's Jitte;0
1;Chandra, Acolyte of Flame;0
1;Grafted Wargear;0
1;Fireblast;0
1;Engineered Explosives;1
1;Marsh Flats;1
1;Needleverge Pathway;1
1;Dread Wanderer;1
1;Bloodchief's Thirst;1
1;Reanimate;1
1;Duress;1
1;Adanto Vanguard;1
1;Goblin Engineer;1
1;Priest of Fell Rites;1
1;Midnight Reaper;1
1;Murderous Rider;1
1;General Ferrous Rokiric;1
1;Lutri, the Spellchaser;1
1;Smokestack;1
