Number_of_card;Card_name;Is_in_sideboard
1;Elvish Reclaimer;0
1;Birds of Paradise;0
1;Fauna Shaman;0
1;Lotus Cobra;0
1;Ornithopter of Paradise;0
1;Recruiter of the Guard;0
1;Eternal Witness;0
1;Nissa, Vastwood Seer;0
1;Courser of Kruphix;0
1;Lurrus of the Dream-Den;0
1;Knight of the Reliquary;0
1;Titania, Protector of Argoth;0
1;Sun Titan;0
1;Wurmcoil Engine;0
1;Elesh Norn, Grand Cenobite;0
1;Krosan Verge;0
1;Simic Growth Chamber;0
6;Plains;0
9;Forest;0
1;Fastbond;0
1;Edge of Autumn;0
1;Crucible of Worlds;0
1;Ravages of War;0
1;Harmonize;0
1;Esika's Chariot;0
1;Garruk Wildspeaker;0
1;Teferi, Hero of Dominaria;0
1;Gravecrawler;1
1;Kytheon, Hero of Akros;1
1;Esper Sentinel;1
1;Dauntless Bodyguard;1
1;Giver of Runes;1
1;Ephemerate;1
1;Life from the Loam;1
1;Young Pyromancer;1
1;Thalia, Guardian of Thraben;1
1;Mimic Vat;1
1;Reclamation Sage;1
1;Brazen Borrower;1
1;Maul of the Skyclaves;1
1;Smokestack;1
1;Omnath, Locus of Creation;1
1;Bring to Light;1
1;Reveillark;1
1;Ulamog, the Ceaseless Hunger;1
1;Kozilek, Butcher of Truth;1
1;Woodfall Primus;1
1;Hornet Queen;1
