Number_of_card;Card_name;Is_in_sideboard
1;Llanowar Elves;0
1;Gilded Goose;0
1;Avacyn's Pilgrim;0
1;Joraga Treespeaker;0
1;Ignoble Hierarch;0
1;Rofellos, Llanowar Emissary;0
1;Voracious Hydra;0
1;Eternal Witness;0
1;Uro, Titan of Nature's Wrath;0
1;Phyrexian Metamorph;0
1;Deep Forest Hermit;0
1;Dragonlord Atarka;0
1;Blightsteel Colossus;0
1;Tropical Island;0
1;Taiga;0
1;Zagoth Triome;0
1;Windswept Heath;0
1;Wooded Foothills;0
2;Island;0
7;Forest;0
1;Green Sun's Zenith;0
1;Prismatic Lens;0
1;Mind Stone;0
1;Simic Signet;0
1;Grim Monolith;0
1;Selesnya Signet;0
1;Timetwister;0
1;Tinker;0
1;Opposition;0
1;Esika's Chariot;0
1;Natural Order;0
1;Thran Dynamo;0
1;Upheaval;0
1;Forest;1
1;Ash Barrens;1
1;Goblin Welder;1
1;Putrid Imp;1
1;Hard Evidence;1
1;Serum Visions;1
1;Impulse;1
1;Mana Leak;1
1;Basalt Monolith;1
1;Good-Fortune Unicorn;1
1;Chord of Calling;1
1;Karn, Scion of Urza;1
1;Toski, Bearer of Secrets;1
1;Birthing Pod;1
1;Daretti, Scrap Savant;1
1;Parallax Wave;1
1;The Gitrog Monster;1
