Number_of_card;Card_name;Is_in_sideboard
1;Sylvan Caryatid;0
1;Grim Flayer;0
1;Ophiomancer;0
1;Master of Death;0
1;Leovold, Emissary of Trest;0
1;Thragtusk;0
1;Niv-Mizzet Reborn;0
1;Golos, Tireless Pilgrim;0
1;Griselbrand;0
1;Emrakul, the Aeons Torn;0
1;Blightstep Pathway;0
1;Cragcrown Pathway;0
1;Celestial Colonnade;0
1;Watery Grave;0
1;Underground Sea;0
1;Bayou;0
1;Overgrown Tomb;0
1;Nurturing Peatland;0
1;Bloodstained Mire;0
1;Wooded Foothills;0
1;Field of the Dead;0
2;Forest;0
1;Mountain;0
1;Swamp;0
2;Island;0
1;Brainstorm;0
1;Portent;0
1;Mind Twist;0
1;Chart a Course;0
1;Collective Brutality;0
1;Gruul Signet;0
1;Liliana, the Last Hope;0
1;Kaito Shizuki;0
1;Kolaghan's Command;0
1;Daretti, Ingenious Iconoclast;0
1;Grist, the Hunger Tide;0
1;Damnation;0
1;Sneak Attack;0
1;Elvish Reclaimer;1
1;Gutterbones;1
1;Hopeful Initiate;1
1;Priest of Fell Rites;1
1;Survival of the Fittest;1
1;Dark Confidant;1
1;Shardless Agent;1
1;Vindicate;1
1;Force of Negation;1
1;Reveillark;1
1;Murktide Regent;1
