Number_of_card;Card_name;Is_in_sideboard
1;Joraga Treespeaker;0
1;Arbor Elf;0
1;Ignoble Hierarch;0
1;Elvish Reclaimer;0
1;Sylvan Caryatid;0
1;Vampire Hexmage;0
1;Dauthi Voidwalker;0
1;Hydroid Krasis;0
1;Eternal Witness;0
1;Leovold, Emissary of Trest;0
1;The Gitrog Monster;0
1;Tovolar's Huntmaster;0
1;Darkbore Pathway;0
1;Horizon Canopy;0
1;Tropical Island;0
1;Bayou;0
1;Indatha Triome;0
1;Ketria Triome;0
1;Windswept Heath;0
1;Scalding Tarn;0
1;Fabled Passage;0
1;Thespian's Stage;0
1;Dark Depths;0
2;Swamp;0
2;Island;0
2;Forest;0
1;Sleight of Hand;0
1;Crop Rotation;0
1;Worldly Tutor;0
1;Mind Twist;0
1;Once Upon a Time;0
1;Golgari Signet;0
1;Mind Stone;0
1;Coalition Relic;0
1;Opposition;0
1;Garruk Wildspeaker;0
1;Upheaval;0
1;Godless Shrine;1
1;Exploration;1
1;Oust;1
1;Gravecrawler;1
1;Goblin Guide;1
1;Life from the Loam;1
1;Life // Death;1
1;Metalworker;1
1;Hero of Bladehold;1
1;Craterhoof Behemoth;1
1;Emrakul, the Aeons Torn;1
