Number_of_card;Card_name;Is_in_sideboard
1;Polluted Delta;0
1;Arbor Elf;0
1;Gilded Goose;0
1;Fyndhorn Elves;0
1;Deathrite Shaman;0
1;Vampire Hexmage;0
1;Hydroid Krasis;0
1;Augur of Autumn;0
1;Dryad of the Ilysian Grove;0
1;Eternal Witness;0
1;Briarbridge Tracker;0
1;Phyrexian Metamorph;0
1;Yawgmoth, Thran Physician;0
1;Rankle, Master of Pranks;0
1;Polukranos, World Eater;0
1;Questing Beast;0
1;Barkchannel Pathway;0
1;Breeding Pool;0
1;Blooming Marsh;0
1;Zagoth Triome;0
1;Field of Ruin;0
1;Verdant Catacombs;0
1;Prismatic Vista;0
1;Misty Rainforest;0
1;Dark Depths;0
1;Polluted Delta;0
3;Forest;0
2;Island;0
1;Swamp;0
1;Gitaxian Probe;0
1;Vampiric Tutor;0
1;Jack-o'-Lantern;0
1;Once Upon a Time;0
1;Assassin's Trophy;0
1;Cryptic Command;0
1;Opposition;0
1;Garruk Wildspeaker;0
1;Tranquil Thicket;1
1;Retrofitter Foundry;1
1;Orcish Lumberjack;1
1;Viscera Seer;1
1;Blood Artist;1
1;Kolaghan's Command;1
1;Life // Death;1
1;Lodestone Golem;1
1;Craterhoof Behemoth;1
1;Elesh Norn, Grand Cenobite;1
