Number_of_card;Card_name;Is_in_sideboard
1;Joraga Treespeaker;0
1;Gilded Goose;0
1;Ignoble Hierarch;0
1;Elvish Mystic;0
1;Noble Hierarch;0
1;Phantasmal Image;0
1;Tireless Tracker;0
1;Thief of Sanity;0
1;Rankle, Master of Pranks;0
1;Hostage Taker;0
1;Consecrated Sphinx;0
1;Primeval Titan;0
1;Urza's Saga;0
1;Barkchannel Pathway;0
1;Tundra;0
1;Creeping Tar Pit;0
1;Breeding Pool;0
1;Overgrown Tomb;0
1;Fabled Passage;0
1;Prismatic Vista;0
1;Marsh Flats;0
2;Swamp;0
4;Forest;0
1;Island;0
1;Skullclamp;0
1;Hymn to Tourach;0
1;Once Upon a Time;0
1;Grim Monolith;0
1;Toxic Deluge;0
1;Liliana of the Veil;0
1;Ashiok, Nightmare Weaver;0
1;Grist, the Hunger Tide;0
1;Agadeem's Awakening;0
1;Opposition;0
1;Coercive Portal;0
1;Time Warp;0
1;Plateau;1
1;Dragon's Rage Channeler;1
1;Chain Lightning;1
1;Falkenrath Gorger;1
1;Eidolon of the Great Revel;1
1;Animate Dead;1
1;Cabal Initiate;1
1;Grafted Wargear;1
1;Seasoned Pyromancer;1
1;Xathrid Necromancer;1
1;Trinket Mage;1
1;Porcelain Legionnaire;1
1;Escape to the Wilds;1
