Number_of_card;Card_name;Is_in_sideboard
1;Cryptbreaker;0
1;Ignoble Hierarch;0
1;Elvish Mystic;0
1;Gilded Goose;0
1;Deathrite Shaman;0
1;Ledger Shredder;0
1;Fauna Shaman;0
1;Tarmogoyf;0
1;Courser of Kruphix;0
1;Elesh Norn, Grand Cenobite;0
1;Hullbreaker Horror;0
1;Archon of Cruelty;0
1;Clearwater Pathway;0
1;Darkbore Pathway;0
1;Horizon Canopy;0
1;Savannah;0
1;Creeping Tar Pit;0
1;Xander's Lounge;0
1;Marsh Flats;0
1;Windswept Heath;0
1;Prismatic Vista;0
3;Forest;0
2;Swamp;0
1;Island;0
1;Sleight of Hand;0
1;Occult Epiphany;0
1;Entomb;0
1;Bone Shards;0
1;Inquisition of Kozilek;0
1;Bloodchief's Thirst;0
1;Persist;0
1;Exhume;0
1;Once Upon a Time;0
1;Life // Death;0
1;Frantic Search;0
1;Recurring Nightmare;0
1;Thirst for Discovery;0
1;Arid Mesa;1
1;Path to Exile;1
1;Falkenrath Pit Fighter;1
1;Soul-Scar Mage;1
1;Student of Warfare;1
1;Avacyn's Pilgrim;1
1;Outland Liberator;1
1;Spike Feeder;1
1;Lutri, the Spellchaser;1
1;Restoration Angel;1
1;Murderous Redcap;1
