Number_of_card;Card_name;Is_in_sideboard
1;Noble Hierarch;0
1;Fyndhorn Elves;0
1;Suspicious Stowaway;0
1;Scavenging Ooze;0
1;Tarmogoyf;0
1;Courser of Kruphix;0
1;Hostage Taker;0
1;Thragtusk;0
1;Engineered Explosives;0
1;Hall of Storm Giants;0
1;Barkchannel Pathway;0
1;Darkbore Pathway;0
1;Clearwater Pathway;0
1;Underground Sea;0
1;Tropical Island;0
1;Verdant Catacombs;0
1;Flooded Strand;0
1;Swamp;0
4;Forest;0
4;Island;0
1;Bloodchief's Thirst;0
1;Remand;0
1;Memory Lapse;0
1;Censor;0
1;Sylvan Library;0
1;Maelstrom Pulse;0
1;Grist, the Hunger Tide;0
1;Jace, the Mind Sculptor;0
1;Cryptic Command;0
1;Memory Deluge;0
1;Treachery;0
1;Mystic Confluence;0
1;Shark Typhoon;0
1;Treasure Cruise;0
1;Maze of Ith;1
1;Dread Fugue;1
1;Oath of Druids;1
1;Goblin Bombardment;1
1;Crucible of Worlds;1
1;Shardless Agent;1
1;Lutri, the Spellchaser;1
1;Spike Feeder;1
1;Reclamation Sage;1
1;Agadeem's Awakening;1
1;Narset, Parter of Veils;1
1;Solemn Simulacrum;1
1;Birthing Pod;1
1;Damnation;1
1;Inferno Titan;1
1;Ulamog, the Infinite Gyre;1
