Number_of_card;Card_name;Is_in_sideboard
1;Llanowar Elves;0
1;Birds of Paradise;0
1;Ignoble Hierarch;0
1;Phantasmal Image;0
1;Rofellos, Llanowar Emissary;0
1;Voracious Hydra;0
1;Baleful Strix;0
1;Courser of Kruphix;0
1;Kitchen Finks;0
1;Ravenous Chupacabra;0
1;Oracle of Mul Daya;0
1;Hostage Taker;0
1;Thragtusk;0
1;Grave Titan;0
1;Clearwater Pathway;0
1;Darkbore Pathway;0
1;Tropical Island;0
1;Bayou;0
1;Scalding Tarn;0
2;Island;0
4;Swamp;0
5;Forest;0
1;Inquisition of Kozilek;0
1;Thoughtseize;0
1;Sylvan Library;0
1;Toxic Deluge;0
1;Recurring Nightmare;0
1;Liliana, the Last Hope;0
1;Fact or Fiction;0
1;Snuff Out;0
1;Commit // Memory;0
1;Turntimber Symbiosis;0
1;Forest;1
1;Swamp;1
1;Island;1
1;Field of the Dead;1
1;Lightning Greaves;1
1;Grim Flayer;1
1;Scavenging Ooze;1
1;Fauna Shaman;1
1;Jadar, Ghoulcaller of Nephalia;1
1;Midnight Reaper;1
1;Omnath, Locus of Creation;1
1;Arlinn, the Pack's Hope;1
1;Birthing Pod;1
1;Hellrider;1
1;Niv-Mizzet Reborn;1
1;Upheaval;1
1;Dragonlord Atarka;1
1;Terastodon;1
1;Archon of Cruelty;1
