Number_of_card;Card_name;Is_in_sideboard
1;Vendilion Clique;0
1;Griselbrand;0
1;Myr Battlesphere;0
1;Emrakul, the Aeons Torn;0
1;Mox Diamond;0
1;Watery Grave;0
1;Underground Sea;0
1;Bayou;0
1;Misty Rainforest;0
1;Bloodstained Mire;0
1;Forest;0
5;Swamp;0
6;Island;0
1;Ponder;0
1;Opt;0
1;Occult Epiphany;0
1;Dread Fugue;0
1;Reanimate;0
1;Bone Shards;0
1;Miscalculation;0
1;Remand;0
1;Exhume;0
1;Infernal Grasp;0
1;Oath of Druids;0
1;Force of Negation;0
1;Dismember;0
1;Ashiok, Nightmare Weaver;0
1;Cryptic Command;0
1;Commit // Memory;0
1;Dig Through Time;0
1;Ugin, the Spirit Dragon;0
1;Viscera Seer;1
1;Putrid Imp;1
1;Lesser Masticore;1
1;Grim Monolith;1
1;Rip Apart;1
1;Melira, Sylvok Outcast;1
1;Sakura-Tribe Elder;1
1;Goblin Bombardment;1
1;Eidolon of the Great Revel;1
1;Blood Artist;1
1;Dark Confidant;1
1;Fateful Absence;1
1;Lutri, the Spellchaser;1
1;Good-Fortune Unicorn;1
1;Hedron Archive;1
1;Hostage Taker;1
1;Nissa, Who Shakes the World;1
1;Riftwing Cloudskate;1
1;Time Spiral;1
