Number_of_card;Card_name;Is_in_sideboard
1;Joraga Treespeaker;0
1;Phantasmal Image;0
1;Earthshaker Khenra;0
1;Young Pyromancer;0
1;Spellseeker;0
1;Shardless Agent;0
1;Phyrexian Metamorph;0
1;Pia and Kiran Nalaar;0
1;Bloodbraid Elf;0
1;Fury;0
1;Inferno Titan;0
1;Hall of Storm Giants;0
1;Shelldock Isle;0
1;Steam Vents;0
1;Tropical Island;0
1;Raging Ravine;0
1;Ancient Tomb;0
1;Fabled Passage;0
1;Forest;0
2;Island;0
7;Mountain;0
1;Sleight of Hand;0
1;Thought Scour;0
1;Lightning Bolt;0
1;Unholy Heat;0
1;Chromatic Star;0
1;Impulse;0
1;Lightning Strike;0
1;Expressive Iteration;0
1;Chandra, Acolyte of Flame;0
1;Fact or Fiction;0
1;Escape to the Wilds;0
1;Shark Typhoon;0
1;Celestial Colonnade;1
1;Hangarback Walker;1
1;Engineered Explosives;1
1;Stonecoil Serpent;1
1;Dread Wanderer;1
1;Liquimetal Torque;1
1;Lesser Masticore;1
1;Wrenn and Six;1
1;Hymn to Tourach;1
1;Lutri, the Spellchaser;1
1;Thran Dynamo;1
1;Daretti, Scrap Savant;1
1;Batterskull;1
1;Sundering Titan;1
