Number_of_card;Card_name;Is_in_sideboard
1;Dragon's Rage Channeler;0
1;Zurgo Bellstriker;0
1;Blazing Rootwalla;0
1;Grim Lavamancer;0
1;Ragavan, Nimble Pilferer;0
1;Flametongue Yearling;0
1;Snapcaster Mage;0
1;Hanweir Garrison;0
1;Deceiver Exarch;0
1;Glasspool Mimic;0
1;Nissa, Vastwood Seer;0
1;Hellrider;0
1;Oracle of Mul Daya;0
1;Bloodbraid Elf;0
1;Scalding Tarn;0
1;Castle Embereth;0
1;Steam Vents;0
1;Tropical Island;0
1;Breeding Pool;0
1;Mutavault;0
1;Forest;0
4;Island;0
5;Mountain;0
1;Firebolt;0
1;Flame Slash;0
1;Ponder;0
1;Jack-o'-Lantern;0
1;Counterspell;0
1;Chart a Course;0
1;Izzet Charm;0
1;Prismari Command;0
1;Shark Typhoon;0
1;Alrund's Epiphany;0
1;Hard Evidence;1
1;Village Rites;1
1;Elvish Mystic;1
1;Green Sun's Zenith;1
1;Noble Hierarch;1
1;Gilded Goose;1
1;Sakura-Tribe Elder;1
1;Scavenging Ooze;1
1;Rofellos, Llanowar Emissary;1
1;Survival of the Fittest;1
1;Dimir Signet;1
1;Show and Tell;1
1;Wrath of God;1
1;Natural Order;1
1;Prime Speaker Vannifar;1
1;Titania, Protector of Argoth;1
1;Carnage Tyrant;1
1;Casualties of War;1
1;Dragonlord Atarka;1
1;Blightsteel Colossus;1
