Number_of_card;Card_name;Is_in_sideboard
1;Vendilion Clique;0
1;Hullbreacher;0
1;Phyrexian Metamorph;0
1;Riftwing Cloudskate;0
1;Misty Rainforest;0
1;Shelldock Isle;0
1;Mystic Sanctuary;0
1;Riverglide Pathway;0
1;Barkchannel Pathway;0
1;Stomping Ground;0
1;Raugrin Triome;0
4;Mountain;0
5;Island;0
1;Serum Visions;0
1;Gitaxian Probe;0
1;Faithless Looting;0
1;Abrade;0
1;Grim Monolith;0
1;Thirst for Knowledge;0
1;Narset, Parter of Veils;0
1;Wheel of Fortune;0
1;Dack Fayden;0
1;Coalition Relic;0
1;Jace, the Mind Sculptor;0
1;Fires of Invention;0
1;Coercive Portal;0
1;Treachery;0
1;Force of Will;0
1;Gilded Lotus;0
1;Memory Jar;0
1;Escape to the Wilds;0
1;Upheaval;0
1;Dig Through Time;0
1;Golgari Rot Farm;1
1;Sacred Foundry;1
1;Blightstep Pathway;1
1;Reanimate;1
1;Growth Spiral;1
1;Eidolon of the Great Revel;1
1;Leovold, Emissary of Trest;1
1;Ashiok, Nightmare Weaver;1
1;Thief of Sanity;1
1;Spell Queller;1
1;Maelstrom Pulse;1
1;Grist, the Hunger Tide;1
1;Augur of Autumn;1
1;Eternal Witness;1
1;Omnath, Locus of Creation;1
1;Xenagos, the Reveler;1
1;Niv-Mizzet Reborn;1
1;Primal Command;1
1;Kiki-Jiki, Mirror Breaker;1
1;Time Warp;1
