Number_of_card;Card_name;Is_in_sideboard
1;Gilded Goose;0
1;Ignoble Hierarch;0
1;Fyndhorn Elves;0
1;Avacyn's Pilgrim;0
1;Sylvan Caryatid;0
1;Rofellos, Llanowar Emissary;0
1;Hydroid Krasis;0
1;Nissa, Vastwood Seer;0
1;Ramunap Excavator;0
1;Shardless Agent;0
1;Oracle of Mul Daya;0
1;Bloodbraid Elf;0
1;Titania, Protector of Argoth;0
1;Carnage Tyrant;0
1;Phyrexian Triniform;0
1;Lotus Petal;0
1;Gaea's Cradle;0
1;Barkchannel Pathway;0
1;Savannah;0
1;Raging Ravine;0
1;Zagoth Triome;0
1;Arid Mesa;0
1;Windswept Heath;0
1;Misty Rainforest;0
1;Evolving Wilds;0
5;Forest;0
1;Mountain;0
1;Island;0
1;Crop Rotation;0
1;Green Sun's Zenith;0
1;Explore;0
1;Finale of Devastation;0
1;Wrenn and Six;0
1;Growth Spiral;0
1;Crucible of Worlds;0
1;Karn Liberated;0
1;Razorverge Thicket;1
1;Branchloft Pathway;1
1;Dark Depths;1
1;Skullclamp;1
1;Dark Ritual;1
1;Usher of the Fallen;1
1;Fauna Shaman;1
1;Search for Tomorrow;1
1;Brutal Cathar;1
1;Solemn Simulacrum;1
1;Harmonize;1
1;Primal Command;1
1;Nissa, Who Shakes the World;1
1;Ashen Rider;1
