Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Putrid Imp;0
1;Suspicious Stowaway;0
1;Dauthi Voidwalker;0
1;Baleful Strix;0
1;Glasspool Mimic;0
1;Midnight Reaper;0
1;Murderous Rider;0
1;Thief of Sanity;0
1;Rankle, Master of Pranks;0
1;Ravenous Chupacabra;0
1;Hullbreaker Horror;0
1;Griselbrand;0
1;Woodfall Primus;0
1;Myr Battlesphere;0
1;Shelldock Isle;0
1;Hive of the Eye Tyrant;0
1;Polluted Delta;0
5;Island;0
8;Swamp;0
1;Occult Epiphany;0
1;Bloodchief's Thirst;0
1;Entomb;0
1;Counterspell;0
1;Exhume;0
1;Infernal Grasp;0
1;Animate Dead;0
1;Smuggler's Copter;0
1;Snuff Out;0
1;Rishadan Port;1
1;Tranquil Thicket;1
1;Engineered Explosives;1
1;Dread Wanderer;1
1;Necrogen Spellbomb;1
1;Chromatic Star;1
1;Deathrite Shaman;1
1;Falkenrath Gorger;1
1;Grim Lavamancer;1
1;Viscera Seer;1
1;Lightning Greaves;1
1;Assassin's Trophy;1
1;Oath of Druids;1
1;Bloodthirsty Adversary;1
1;Bloodghast;1
1;Thassa's Oracle;1
1;Sword of Fire and Ice;1
1;Teferi, Time Raveler;1
1;Leovold, Emissary of Trest;1
1;Bonecrusher Giant;1
1;Murderous Redcap;1
1;Hero of Bladehold;1
