Number_of_card;Card_name;Is_in_sideboard
1;Putrid Imp;0
1;Jace, Vryn's Prodigy;0
1;Vendilion Clique;0
1;Venser, Shaper Savant;0
1;Grave Titan;0
1;Griselbrand;0
1;Sundering Titan;0
1;Clearwater Pathway;0
1;Shelldock Isle;0
1;Hive of the Eye Tyrant;0
1;Creeping Tar Pit;0
1;Flooded Strand;0
7;Swamp;0
5;Island;0
1;Serum Visions;0
1;Inquisition of Kozilek;0
1;Dark Ritual;0
1;Thoughtseize;0
1;Entomb;0
1;Reanimate;0
1;Lose Focus;0
1;Miscalculation;0
1;Counterspell;0
1;Persist;0
1;Exhume;0
1;Animate Dead;0
1;Hymn to Tourach;0
1;Cryptic Command;0
1;Mystic Confluence;0
1;Dig Through Time;0
1;Ancient Tomb;1
1;Savannah;1
1;Brightclimb Pathway;1
1;Noble Hierarch;1
1;Mana Tithe;1
1;Dauntless Bodyguard;1
1;Kytheon, Hero of Akros;1
1;Izzet Charm;1
1;Dire Fleet Daredevil;1
1;Damn;1
1;Dack Fayden;1
1;Prismari Command;1
1;Liliana, the Last Hope;1
1;Narset, Parter of Veils;1
1;Timetwister;1
1;Damnation;1
