Number_of_card;Card_name;Is_in_sideboard
1;Pack Rat;0
1;Urza, Lord High Artificer;0
1;Venser, Shaper Savant;0
1;Golos, Tireless Pilgrim;0
1;Triplicate Titan;0
1;Ancient Stone Idol;0
1;Urza's Saga;0
1;Brightclimb Pathway;0
1;Godless Shrine;0
1;Watery Grave;0
1;Badlands;0
1;Polluted Delta;0
1;Verdant Catacombs;0
1;Misty Rainforest;0
1;Bloodstained Mire;0
5;Island;0
3;Swamp;0
1;Brainstorm;0
1;Hard Evidence;0
1;Vampiric Tutor;0
1;Dread Fugue;0
1;Retrofitter Foundry;0
1;Lotus Petal;0
1;Chrome Mox;0
1;Dismember;0
1;Demonic Tutor;0
1;Grim Monolith;0
1;Prismatic Lens;0
1;Thirst for Knowledge;0
1;Tinker;0
1;Timetwister;0
1;Toxic Deluge;0
1;Ashiok, Nightmare Weaver;0
1;Kolaghan's Command;0
1;Field of the Dead;1
1;Raging Ravine;1
1;Tolarian Academy;1
1;Zurgo Bellstriker;1
1;Goblin Welder;1
1;Oona's Prowler;1
1;Metalworker;1
1;Shardless Agent;1
1;Porcelain Legionnaire;1
1;Thran Dynamo;1
1;Cogwork Librarian;1
1;Hazoret the Fervent;1
1;Memory Jar;1
1;Fireblast;1
1;Emrakul, the Aeons Torn;1
1;Ulamog, the Infinite Gyre;1
