Number_of_card;Card_name;Is_in_sideboard
1;Dread Wanderer;0
1;Cryptbreaker;0
1;Carrion Feeder;0
1;Oona's Prowler;0
1;Bloodghast;0
1;Blade of the Oni;0
1;Putrid Goblin;0
1;Hullbreacher;0
1;Ophiomancer;0
1;Woe Strider;0
1;Master of Death;0
1;Glen Elendra Archmage;0
1;Ravenous Chupacabra;0
1;Murderous Redcap;0
1;Underground Sea;0
1;Watery Grave;0
8;Swamp;0
7;Island;0
1;Consider;0
1;Bone Shards;0
1;Bloodchief's Thirst;0
1;Fatal Push;0
1;Chart a Course;0
1;Recurring Nightmare;0
1;Kaito Shizuki;0
1;Snuff Out;0
1;Time Warp;0
1;Phyrexian Tower;1
1;Hall of Storm Giants;1
1;Opt;1
1;Hard Evidence;1
1;Legion's Landing;1
1;Lesser Masticore;1
1;Priest of Fell Rites;1
1;Voracious Hydra;1
1;Goblin Engineer;1
1;Unmarked Grave;1
1;Sea Gate Stormcaller;1
1;Blasting Station;1
1;Rotting Regisaur;1
1;Thirst for Knowledge;1
1;Blade Splicer;1
1;Skyclave Apparition;1
1;Smokestack;1
1;Niv-Mizzet Reborn;1
1;Reveillark;1
1;Mindslaver;1
