Number_of_card;Card_name;Is_in_sideboard
1;Putrid Imp;0
1;Jace, Vryn's Prodigy;0
1;Snapcaster Mage;0
1;Oona's Prowler;0
1;Woe Strider;0
1;Glen Elendra Archmage;0
1;Archon of Cruelty;0
1;Griselbrand;0
1;Triplicate Titan;0
1;Ulamog, the Ceaseless Hunger;0
1;Creeping Tar Pit;0
7;Island;0
8;Swamp;0
1;Consider;0
1;Hard Evidence;0
1;Mystical Tutor;0
1;Bone Shards;0
1;Entomb;0
1;Lose Focus;0
1;Collective Brutality;0
1;Animate Dead;0
1;Unmarked Grave;0
1;Persist;0
1;Frantic Search;0
1;Necromancy;0
1;Recurring Nightmare;0
1;Snuff Out;0
1;Green Sun's Zenith;1
1;Avacyn's Pilgrim;1
1;Fastbond;1
1;Knight of the Ebon Legion;1
1;Sleight of Hand;1
1;Portable Hole;1
1;Dimir Signet;1
1;Devoted Druid;1
1;Putrid Goblin;1
1;Thassa's Oracle;1
1;Prismari Command;1
1;Liliana, the Last Hope;1
1;Show and Tell;1
1;Deceiver Exarch;1
1;Pestermite;1
1;Jace, Wielder of Mysteries;1
1;Memory Jar;1
1;Niv-Mizzet Reborn;1
1;Through the Breach;1
1;Ancient Stone Idol;1
1;Woodfall Primus;1
1;Dig Through Time;1
