Number_of_card;Card_name;Is_in_sideboard
1;Stonecoil Serpent;0
1;Gilded Goose;0
1;Phantasmal Image;0
1;Sakura-Tribe Elder;0
1;Vendilion Clique;0
1;Springbloom Druid;0
1;Dryad of the Ilysian Grove;0
1;Nissa, Vastwood Seer;0
1;Shardless Agent;0
1;Venser, Shaper Savant;0
1;Questing Beast;0
1;Riftwing Cloudskate;0
1;Consecrated Sphinx;0
1;Woodfall Primus;0
1;Lumbering Falls;0
1;Gaea's Cradle;0
1;Shelldock Isle;0
1;Tropical Island;0
1;Breeding Pool;0
1;Misty Rainforest;0
5;Island;0
4;Forest;0
1;Gitaxian Probe;0
1;Opt;0
1;Abundant Harvest;0
1;Daze;0
1;Lose Focus;0
1;Simic Signet;0
1;Force of Negation;0
1;Primal Command;0
1;Treasure Cruise;0
1;Tooth and Nail;0
1;Thing in the Ice;0
1;Blooming Marsh;1
1;Clearwater Pathway;1
1;Spirebluff Canal;1
1;Thespian's Stage;1
1;Island;1
1;Green Sun's Zenith;1
1;Carrion Feeder;1
1;Mizzium Mortars;1
1;Ancient Grudge;1
1;Baral, Chief of Compliance;1
1;Tourach, Dread Cantor;1
1;Chromatic Lantern;1
1;Pestermite;1
1;Natural Order;1
1;Xenagos, the Reveler;1
1;Casualties of War;1
1;Sea Gate Stormcaller;1
1;Sea Gate Restoration;1
