Number_of_card;Card_name;Is_in_sideboard
1;Ragavan, Nimble Pilferer;0
1;Goblin Welder;0
1;Emry, Lurker of the Loch;0
1;Vendilion Clique;0
1;Seasoned Pyromancer;0
1;Wurmcoil Engine;0
1;Inferno Titan;0
1;Blightsteel Colossus;0
1;Mox Diamond;0
1;Ancient Tomb;0
1;Volcanic Island;0
1;Plateau;0
1;Flooded Strand;0
1;Arid Mesa;0
4;Mountain;0
5;Island;0
1;Preordain;0
1;Serum Visions;0
1;Shatterskull Smashing;0
1;Mana Leak;0
1;Remand;0
1;Grim Monolith;0
1;Azorius Signet;0
1;Lightning Strike;0
1;Worn Powerstone;0
1;Tinker;0
1;Fact or Fiction;0
1;Daretti, Scrap Savant;0
1;Force of Will;0
1;Wildfire;0
1;Upheaval;0
1;Treasure Cruise;0
1;Liquimetal Torque;0
