Number_of_card;Card_name;Is_in_sideboard
1;Stonecoil Serpent;0
1;Soul-Scar Mage;0
1;Suspicious Stowaway;0
1;Legion Warboss;0
1;Cavalier of Gales;0
1;Wurmcoil Engine;0
1;Sundering Titan;0
1;Phyrexian Triniform;0
1;Mishra's Bauble;0
1;Urza's Saga;0
1;Chrome Mox;0
7;Island;0
6;Mountain;0
1;Sleight of Hand;0
1;Miscalculation;0
1;Searing Spear;0
1;Lightning Strike;0
1;Dimir Signet;0
1;Azorius Signet;0
1;Mind Stone;0
1;Show and Tell;0
1;Valakut Awakening;0
1;Jace, the Mind Sculptor;0
1;Chandra, Torch of Defiance;0
1;Karn, Scion of Urza;0
1;Through the Breach;0
1;Commit // Memory;0
1;Karn Liberated;0
1;Savannah;1
1;Razorverge Thicket;1
1;Inspiring Vantage;1
1;Darkbore Pathway;1
1;Prismatic Ending;1
1;Thraben Inspector;1
1;Thing in the Ice;1
1;Ashiok, Nightmare Weaver;1
1;Shardless Agent;1
1;Lutri, the Spellchaser;1
1;Maul of the Skyclaves;1
1;Showdown of the Skalds;1
1;Supreme Verdict;1
1;Palace Jailer;1
1;Reveillark;1
1;Torrential Gearhulk;1
1;Ulamog, the Infinite Gyre;1
1;Ugin, the Spirit Dragon;1
