Number_of_card;Card_name;Is_in_sideboard
1;Dragon's Rage Channeler;0
1;Soul-Scar Mage;0
1;Suspicious Stowaway;0
1;Snapcaster Mage;0
1;Earthshaker Khenra;0
1;Vendilion Clique;0
1;Brazen Borrower;0
1;Legion Warboss;0
1;Glen Elendra Archmage;0
1;Sacred Foundry;0
1;Steam Vents;0
1;Flooded Strand;0
1;Polluted Delta;0
1;Bloodstained Mire;0
1;Prismatic Vista;0
1;Plains;0
4;Mountain;0
5;Island;0
1;Ponder;0
1;Thought Scour;0
1;Preordain;0
1;Sleight of Hand;0
1;Daze;0
1;Izzet Charm;0
1;Smuggler's Copter;0
1;Umezawa's Jitte;0
1;Chandra, Acolyte of Flame;0
1;Teferi, Time Raveler;0
1;Prismari Command;0
1;Cryptic Command;0
1;Force of Will;0
1;Treachery;0
1;Fireblast;0
1;Indatha Triome;1
1;Figure of Destiny;1
1;Falkenrath Gorger;1
1;Dread Fugue;1
1;Legion's Landing;1
1;Izzet Signet;1
1;Golgari Signet;1
1;Grafted Wargear;1
1;Coalition Relic;1
1;Shardless Agent;1
1;Lurrus of the Dream-Den;1
1;Soulherder;1
1;Briarbridge Tracker;1
1;Frantic Search;1
1;Omnath, Locus of Creation;1
1;Time Spiral;1
