Number_of_card;Card_name;Is_in_sideboard
1;Snapcaster Mage;0
1;Pestermite;0
1;Deceiver Exarch;0
1;Imperial Recruiter;0
1;Phyrexian Metamorph;0
1;Zealous Conscripts;0
1;Kiki-Jiki, Mirror Breaker;0
1;Fiery Islet;0
1;Misty Rainforest;0
6;Mountain;0
8;Island;0
1;Serum Visions;0
1;Gitaxian Probe;0
1;Mystical Tutor;0
1;Chain Lightning;0
1;Lose Focus;0
1;Impulse;0
1;Daze;0
1;Izzet Signet;0
1;Narset, Parter of Veils;0
1;Timetwister;0
1;Dack Fayden;0
1;Prismari Command;0
1;Coalition Relic;0
1;Jace, the Mind Sculptor;0
1;Memory Deluge;0
1;Splinter Twin;0
1;Shark Typhoon;0
1;Blood Crypt;1
1;Hallowed Fountain;1
1;Karakas;1
1;Orzhov Signet;1
1;Rakdos Signet;1
1;Mind Stone;1
1;Altar of Dementia;1
1;Finale of Devastation;1
1;Goblin Bombardment;1
1;The Meathook Massacre;1
1;Thalia's Lieutenant;1
1;Anafenza, Kin-Tree Spirit;1
1;Toxic Deluge;1
1;Tinker;1
1;Coercive Portal;1
1;Oracle of Mul Daya;1
1;Opposition;1
1;Through the Breach;1
1;Sundering Titan;1
