Number_of_card;Card_name;Is_in_sideboard
1;Jace, Vryn's Prodigy;0
1;Kari Zev, Skyship Raider;0
1;Young Pyromancer;0
1;Pestermite;0
1;Hullbreacher;0
1;Fable of the Mirror-Breaker;0
1;Kiki-Jiki, Mirror Breaker;0
1;Zealous Conscripts;0
1;Fury;0
1;Mishra's Bauble;0
1;Engineered Explosives;0
1;Ketria Triome;0
1;Wooded Foothills;0
6;Mountain;0
7;Island;0
1;Spell Pierce;0
1;Occult Epiphany;0
1;Faithless Looting;0
1;Remand;0
1;Memory Lapse;0
1;Searing Spear;0
1;Shatterskull Smashing;0
1;Frantic Search;0
1;Timetwister;0
1;Force of Negation;0
1;Splinter Twin;0
1;Chandra, Torch of Defiance;0
1;Force of Will;0
1;Dig Through Time;0
1;Phyrexian Tower;1
1;Everflowing Chalice;1
1;Grim Lavamancer;1
1;Carrion Feeder;1
1;Scrapheap Scrounger;1
1;Liquimetal Torque;1
1;Embereth Shieldbreaker;1
1;Robber of the Rich;1
1;Basalt Monolith;1
1;Hanweir Garrison;1
1;Maul of the Skyclaves;1
1;Teferi, Hero of Dominaria;1
1;Through the Breach;1
1;Wurmcoil Engine;1
1;Ancient Stone Idol;1
1;Triplicate Titan;1
1;Myr Battlesphere;1
1;Nexus of Fate;1
