Number_of_card;Card_name;Is_in_sideboard
1;Pestermite;0
1;Imperial Recruiter;0
1;Restoration Angel;0
1;Phyrexian Metamorph;0
1;Glen Elendra Archmage;0
1;Riftwing Cloudskate;0
1;Zealous Conscripts;0
1;Kiki-Jiki, Mirror Breaker;0
1;Taiga;0
1;Savai Triome;0
1;Flooded Strand;0
1;Windswept Heath;0
1;Scalding Tarn;0
4;Mountain;0
8;Island;0
1;Thought Scour;0
1;Consider;0
1;Flame Slash;0
1;Impulse;0
1;Miscalculation;0
1;Abrade;0
1;Izzet Signet;0
1;Thirst for Discovery;0
1;Dack Fayden;0
1;Prismari Command;0
1;Splinter Twin;0
1;Mystic Confluence;0
1;Treachery;0
1;Shark Typhoon;0
1;Commit // Memory;0
1;Ancient Tomb;1
1;Thespian's Stage;1
1;Blood Crypt;1
1;Savannah;1
1;Fastbond;1
1;Orcish Lumberjack;1
1;Gravecrawler;1
1;Lore Seeker;1
1;Winter Orb;1
1;Growth Spiral;1
1;Unmarked Grave;1
1;Stoneforge Mystic;1
1;Balance;1
1;Worn Powerstone;1
1;Crucible of Worlds;1
1;Wheel of Fortune;1
1;Daretti, Scrap Savant;1
1;Sneak Attack;1
1;Jace, Wielder of Mysteries;1
1;Through the Breach;1
1;Ethereal Forager;1
