Number_of_card;Card_name;Is_in_sideboard
1;Thraben Inspector;0
1;Giver of Runes;0
1;Seasoned Hallowblade;0
1;Stoneforge Mystic;0
1;Charming Prince;0
1;Selfless Spirit;0
1;Tithe Taker;0
1;Glasspool Mimic;0
1;Kitchen Finks;0
1;Glen Elendra Archmage;0
1;Solemn Simulacrum;0
1;Tundra;0
1;Raugrin Triome;0
5;Island;0
6;Plains;0
1;Opt;0
1;Ponder;0
1;Path to Exile;0
1;Negate;0
1;Grafted Wargear;0
1;History of Benalia;0
1;Teferi, Time Raveler;0
1;Jace, the Mind Sculptor;0
1;Cryptic Command;0
1;Elspeth Conquers Death;0
1;Elspeth, Sun's Champion;0
1;Emeria's Call;0
1;Flickerwisp;0
1;Commit // Memory;0
1;Temple of Enlightenment;0
1;Maul of the Skyclaves;0
