Number_of_card;Card_name;Is_in_sideboard
1;Stoneforge Mystic;0
1;Snapcaster Mage;0
1;Phantasmal Image;0
1;Elite Spellbinder;0
1;Yorion, Sky Nomad;0
1;Ethereal Forager;0
1;Murktide Regent;0
1;Cave of the Frost Dragon;0
1;Celestial Colonnade;0
1;Hallowed Fountain;0
1;Raffine's Tower;0
1;Flooded Strand;0
1;Prismatic Vista;0
2;Plains;0
8;Island;0
1;Path to Exile;0
1;Preordain;0
1;Thought Scour;0
1;Ponder;0
1;Gitaxian Probe;0
1;Remand;0
1;Memory Lapse;0
1;Impulse;0
1;Force of Negation;0
1;Thirst for Knowledge;0
1;Frantic Search;0
1;Teferi, Time Raveler;0
1;Jace, the Mind Sculptor;0
1;Force of Will;0
1;Batterskull;0
1;Shark Typhoon;0
1;Treasure Cruise;0
1;Volcanic Island;1
1;Figure of Destiny;1
1;Viscera Seer;1
1;Mystical Tutor;1
1;Champion of the Parish;1
1;Dragon Hunter;1
1;Student of Warfare;1
1;Giver of Runes;1
1;Thraben Inspector;1
1;Smuggler's Copter;1
1;Vizier of Remedies;1
1;Dismember;1
1;Pestermite;1
1;Flickerwisp;1
1;Archangel of Thune;1
