Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Dauntless Bodyguard;0
1;Student of Warfare;0
1;Mother of Runes;0
1;Intrepid Adversary;0
1;Luminarch Aspirant;0
1;Jace, Vryn's Prodigy;0
1;Phantasmal Image;0
1;Porcelain Legionnaire;0
1;Monastery Mentor;0
1;Sower of Temptation;0
1;Glen Elendra Archmage;0
1;Karakas;0
1;Hengegate Pathway;0
1;Raugrin Triome;0
7;Island;0
6;Plains;0
1;Mana Tithe;0
1;Opt;0
1;Bonesplitter;0
1;Lose Focus;0
1;Mana Leak;0
1;Counterspell;0
1;Umezawa's Jitte;0
1;Force of Negation;0
1;Narset, Parter of Veils;0
1;Heirloom Blade;0
1;Elspeth, Knight-Errant;0
1;Time Warp;0
1;Figure of Destiny;1
1;Falkenrath Gorger;1
1;Hard Evidence;1
1;Enlightened Tutor;1
1;Winter Orb;1
1;Finale of Devastation;1
1;Robber of the Rich;1
1;Search for Azcanta;1
1;Soulherder;1
1;Eternal Witness;1
1;Agadeem's Awakening;1
1;Thran Dynamo;1
1;Grief;1
1;Ravages of War;1
1;Primal Command;1
1;Glorybringer;1
1;Doomskar;1
1;Sun Titan;1
