Number_of_card;Card_name;Is_in_sideboard
1;Champion of the Parish;0
1;Dauntless Bodyguard;0
1;Intrepid Adversary;0
1;Containment Priest;0
1;Anafenza, Kin-Tree Spirit;0
1;Jace, Vryn's Prodigy;0
1;Phantasmal Image;0
1;Blade Splicer;0
1;Flickerwisp;0
1;Adeline, Resplendent Cathar;0
1;Vendilion Clique;0
1;Timeless Dragon;0
1;Mishra's Bauble;0
1;Hall of Storm Giants;0
1;Cave of the Frost Dragon;0
1;Celestial Colonnade;0
1;Mutavault;0
1;Flooded Strand;0
6;Plains;0
5;Island;0
1;Gitaxian Probe;0
1;Preordain;0
1;Ponder;0
1;Unexpectedly Absent;0
1;Daze;0
1;Censor;0
1;Maul of the Skyclaves;0
1;Gideon, Ally of Zendikar;0
1;Parallax Wave;0
1;Supreme Verdict;0
1;Time Warp;0
1;Razorverge Thicket;1
1;Branchloft Pathway;1
1;Ephemerate;1
1;Azorius Signet;1
1;Scavenging Ooze;1
1;Tainted Pact;1
1;Thalia, Guardian of Thraben;1
1;Vizier of Remedies;1
1;Basalt Monolith;1
1;Bala Ged Recovery;1
1;Deceiver Exarch;1
1;Heliod, Sun-Crowned;1
1;Opposition;1
1;Wrath of God;1
1;Kenrith, the Returned King;1
1;Reveillark;1
1;Mindslaver;1
1;Alrund's Epiphany;1
1;Elesh Norn, Grand Cenobite;1
