Number_of_card;Card_name;Is_in_sideboard
1;Hangarback Walker;0
1;Figure of Destiny;0
1;Stoneforge Mystic;0
1;Adanto Vanguard;0
1;Cathar Commando;0
1;Containment Priest;0
1;Oona's Prowler;0
1;Skyclave Shade;0
1;Phyrexian Revoker;0
1;Monastery Mentor;0
1;Sedgemoor Witch;0
1;Hero of Bladehold;0
1;Grief;0
1;Godless Shrine;0
1;Scrubland;0
1;Ash Barrens;0
1;Mutavault;0
1;Polluted Delta;0
1;Windswept Heath;0
5;Plains;0
5;Swamp;0
1;Legion's Landing;0
1;Swords to Plowshares;0
1;Thoughtseize;0
1;Skullclamp;0
1;Unexpectedly Absent;0
1;Vanishing Verse;0
1;Smuggler's Copter;0
1;Umezawa's Jitte;0
1;Council's Judgment;0
1;Ravages of War;0
1;Karn, Scion of Urza;0
1;Blackcleave Cliffs;1
1;Creeping Tar Pit;1
1;Razorverge Thicket;1
1;Thought Scour;1
1;Ephemerate;1
1;Champion of the Parish;1
1;Shatterskull Smashing;1
1;Thalia's Lieutenant;1
1;Mayhem Devil;1
1;Daretti, Ingenious Iconoclast;1
1;Thief of Sanity;1
1;Chandra, Acolyte of Flame;1
1;Brutal Cathar;1
1;Showdown of the Skalds;1
1;Hellrider;1
1;Day of Judgment;1
1;Reveillark;1
1;Sphinx of the Steel Wind;1
