Number_of_card;Card_name;Is_in_sideboard
1;Champion of the Parish;0
1;Dauntless Bodyguard;0
1;Bloodsoaked Champion;0
1;Tithe Taker;0
1;Charming Prince;0
1;Seasoned Hallowblade;0
1;Cathar Commando;0
1;Selfless Spirit;0
1;Jadar, Ghoulcaller of Nephalia;0
1;Skyclave Apparition;0
1;Elite Spellbinder;0
1;Lurrus of the Dream-Den;0
1;Kitchen Finks;0
1;Palace Jailer;0
1;Yawgmoth, Thran Physician;0
1;Reveillark;0
1;Concealed Courtyard;0
1;Brightclimb Pathway;0
7;Plains;0
6;Swamp;0
1;Fatal Push;0
1;Bitterblossom;0
1;Vanishing Verse;0
1;History of Benalia;0
1;Maul of the Skyclaves;0
1;Armageddon;0
1;Elspeth, Sun's Champion;0
1;Emeria's Call;0
1;Elspeth, Knight-Errant;0
1;Blightstep Pathway;1
1;Golgari Rot Farm;1
1;Light Up the Night;1
1;Liquimetal Torque;1
1;Goblin Bombardment;1
1;Oona's Prowler;1
1;Mayhem Devil;1
1;Grist, the Hunger Tide;1
1;Eternal Witness;1
1;Seasoned Pyromancer;1
1;Bonecrusher Giant;1
1;Imperial Recruiter;1
1;Valakut Awakening;1
1;Toxic Deluge;1
1;Woe Strider;1
1;Council's Judgment;1
1;Fires of Invention;1
1;Damnation;1
1;Doomskar;1
1;Embercleave;1
