Number_of_card;Card_name;Is_in_sideboard
1;Avacyn's Pilgrim;0
1;Thing in the Ice;0
1;Jace, Vryn's Prodigy;0
1;Sakura-Tribe Elder;0
1;Hydroid Krasis;0
1;Thalia, Heretic Cathar;0
1;Monastery Mentor;0
1;Vendilion Clique;0
1;Shardless Agent;0
1;Leovold, Emissary of Trest;0
1;Questing Beast;0
1;Thragtusk;0
1;Engineered Explosives;0
1;Clearwater Pathway;0
1;Tropical Island;0
1;Zagoth Triome;0
4;Plains;0
2;Swamp;0
3;Island;0
4;Forest;0
1;Path to Exile;0
1;Consider;0
1;Ponder;0
1;Cabal Therapy;0
1;Fatal Push;0
1;Fateful Absence;0
1;Vanishing Verse;0
1;Jace, the Mind Sculptor;0
1;Fact or Fiction;0
1;Force of Will;0
1;Primal Command;0
1;Dig Through Time;0
1;Maze of Ith;1
1;Phyrexian Tower;1
1;Secluded Steppe;1
1;Lotus Petal;1
1;Chromatic Star;1
1;Baleful Strix;1
1;Dark Confidant;1
1;Skyclave Shade;1
1;Sedgemoor Witch;1
1;Prime Speaker Vannifar;1
1;Natural Order;1
1;Yawgmoth, Thran Physician;1
1;Batterskull;1
1;Memory Jar;1
1;Cavalier of Gales;1
1;Ethereal Forager;1
1;Torrential Gearhulk;1
1;Ugin, the Spirit Dragon;1
