Number_of_card;Card_name;Is_in_sideboard
1;Stonecoil Serpent;0
1;Hangarback Walker;0
1;Giver of Runes;0
1;Student of Warfare;0
1;Mother of Runes;0
1;Luminarch Aspirant;0
1;Cathar Commando;0
1;Selfless Spirit;0
1;Seasoned Hallowblade;0
1;Adanto Vanguard;0
1;Stoneforge Mystic;0
1;Phyrexian Revoker;0
1;Porcelain Legionnaire;0
1;Skyclave Apparition;0
1;Recruiter of the Guard;0
1;Lurrus of the Dream-Den;0
1;Hero of Bladehold;0
1;Lodestone Golem;0
1;Chrome Mox;0
1;Flooded Strand;0
1;Rishadan Port;0
14;Plains;0
1;Ephemerate;0
1;Skullclamp;0
1;Smuggler's Copter;0
1;Umezawa's Jitte;0
1;Sword of Fire and Ice;0
1;Maze of Ith;1
1;Tolarian Academy;1
1;Great Furnace;1
1;Forgotten Cave;1
1;Concealed Courtyard;1
1;Dryad Arbor;1
1;Rakdos Cackler;1
1;Gilded Goose;1
1;Balance;1
1;Survival of the Fittest;1
1;Simic Signet;1
1;Grim Monolith;1
1;Eidolon of the Great Revel;1
1;Bloodthirsty Adversary;1
1;Tinker;1
1;Knight of Autumn;1
1;Courser of Kruphix;1
1;Elspeth, Sun's Champion;1
1;Mindslaver;1
1;Burning of Xinye;1
1;Sphinx of the Steel Wind;1
