Number_of_card;Card_name;Is_in_sideboard
1;Walking Ballista;0
1;Giver of Runes;0
1;Thraben Inspector;0
1;Mother of Runes;0
1;Dragon Hunter;0
1;Student of Warfare;0
1;Kytheon, Hero of Akros;0
1;Dauntless Bodyguard;0
1;Champion of the Parish;0
1;Thalia, Guardian of Thraben;0
1;Adanto Vanguard;0
1;Cathar Commando;0
1;Stoneforge Mystic;0
1;Anafenza, Kin-Tree Spirit;0
1;Blade Splicer;0
1;Recruiter of the Guard;0
1;Restoration Angel;0
1;Lodestone Golem;0
1;Gaea's Cradle;0
1;Flooded Strand;0
1;Mishra's Factory;0
1;Ancient Tomb;0
12;Plains;0
1;Swords to Plowshares;0
1;Path to Exile;0
1;Skullclamp;0
1;Fateful Absence;0
1;Council's Judgment;0
1;Sword of Fire and Ice;0
1;Plains;1
1;Polluted Delta;1
1;Brightclimb Pathway;1
1;Retrofitter Foundry;1
1;Occult Epiphany;1
1;Finale of Devastation;1
1;Outland Liberator;1
1;Melira, Sylvok Outcast;1
1;Infernal Grasp;1
1;Exhume;1
1;Counterspell;1
1;Remand;1
1;Jace, Vryn's Prodigy;1
1;Worn Powerstone;1
1;Spike Feeder;1
1;Pestermite;1
1;Thirst for Knowledge;1
1;Splinter Twin;1
1;Kiki-Jiki, Mirror Breaker;1
1;Treasure Cruise;1
