Number_of_card;Card_name;Is_in_sideboard
1;Student of Warfare;0
1;Esper Sentinel;0
1;Cathar Commando;0
1;Luminarch Aspirant;0
1;Sungold Sentinel;0
1;Adanto Vanguard;0
1;Intrepid Adversary;0
1;Elite Spellbinder;0
1;Flickerwisp;0
1;Skyclave Apparition;0
1;Soulherder;0
1;Restoration Angel;0
1;Venser, Shaper Savant;0
1;Chrome Mox;0
1;Spara's Headquarters;0
1;Raugrin Triome;0
1;Polluted Delta;0
1;Ash Barrens;0
4;Island;0
8;Plains;0
1;Swords to Plowshares;0
1;Portable Hole;0
1;Ephemerate;0
1;Skullclamp;0
1;Unexpectedly Absent;0
1;Miscalculation;0
1;Smuggler's Copter;0
1;Council's Judgment;0
1;Teferi, Time Raveler;0
1;Gideon, Ally of Zendikar;0
1;Field of the Dead;1
1;Horizon Canopy;1
1;Branchloft Pathway;1
1;Grim Lavamancer;1
1;Ponder;1
1;Brainstorm;1
1;Izzet Signet;1
1;Phyrexian Revoker;1
1;Vanishing Verse;1
1;Safehold Elite;1
1;Remand;1
1;Daze;1
1;Chandra, Acolyte of Flame;1
1;Monastery Mentor;1
1;Hellrider;1
1;Grief;1
1;Murktide Regent;1
