Number_of_card;Card_name;Is_in_sideboard
1;Champion of the Parish;0
1;Kytheon, Hero of Akros;0
1;Rabbit Battery;0
1;Ragavan, Nimble Pilferer;0
1;Seasoned Hallowblade;0
1;Cathar Commando;0
1;Luminarch Aspirant;0
1;Anafenza, Kin-Tree Spirit;0
1;Earthshaker Khenra;0
1;Dire Fleet Daredevil;0
1;Robber of the Rich;0
1;Kari Zev, Skyship Raider;0
1;Porcelain Legionnaire;0
1;Thalia, Heretic Cathar;0
1;Elite Spellbinder;0
1;Reckless Stormseeker;0
1;Plateau;0
1;Sunbaked Canyon;0
1;Savai Triome;0
6;Plains;0
6;Mountain;0
1;March of Otherworldly Light;0
1;Seal of Fire;0
1;Flame Slash;0
1;Abrade;0
1;Reckless Impulse;0
1;Lightning Helix;0
1;The Wandering Emperor;0
1;Showdown of the Skalds;0
1;Emeria's Call;0
1;Breeding Pool;1
1;Mutavault;1
1;Crop Rotation;1
1;Traverse the Ulvenwald;1
1;Umezawa's Jitte;1
1;Dreadhorde Arcanist;1
1;Embereth Shieldbreaker;1
1;Jadar, Ghoulcaller of Nephalia;1
1;Fauna Shaman;1
1;Melira, Sylvok Outcast;1
1;Goblin Rabblemaster;1
1;Spike Feeder;1
1;Toski, Bearer of Secrets;1
1;Falkenrath Aristocrat;1
1;Murderous Cut;1
1;Shark Typhoon;1
1;Ugin, the Spirit Dragon;1
