Number_of_card;Card_name;Is_in_sideboard
1;Thing in the Ice;0
1;Baleful Strix;0
1;Vendilion Clique;0
1;Urza, Lord High Artificer;0
1;Ethereal Forager;0
1;Everflowing Chalice;0
1;Hive of the Eye Tyrant;0
1;Scrubland;0
1;Tundra;0
1;Watery Grave;0
1;Raffine's Tower;0
1;Verdant Catacombs;0
3;Swamp;0
8;Island;0
1;Consider;0
1;Gitaxian Probe;0
1;Hard Evidence;0
1;Fatal Push;0
1;Impulse;0
1;Memory Lapse;0
1;Power Word Kill;0
1;Bitterblossom;0
1;Lingering Souls;0
1;Toxic Deluge;0
1;Opposition;0
1;Cryptic Command;0
1;Coercive Portal;0
1;Mystic Confluence;0
1;Force of Will;0
1;Batterskull;0
1;Shark Typhoon;0
1;Maze of Ith;1
1;Badlands;1
1;Jack-o'-Lantern;1
1;Orcish Lumberjack;1
1;Liquimetal Torque;1
1;Edge of Autumn;1
1;Prismari Command;1
1;Najeela, the Blade-Blossom;1
1;Spellseeker;1
1;Pestermite;1
1;Lodestone Golem;1
1;Supreme Verdict;1
1;Murderous Cut;1
1;Archangel of Thune;1
1;Upheaval;1
1;Emeria's Call;1
