Number_of_card;Card_name;Is_in_sideboard
1;Knight of the Ebon Legion;0
1;Usher of the Fallen;0
1;Hopeful Initiate;0
1;Sungold Sentinel;0
1;Intrepid Adversary;0
1;Ledger Shredder;0
1;Suspicious Stowaway;0
1;Dark Confidant;0
1;Ophiomancer;0
1;Recruiter of the Guard;0
1;Murderous Rider;0
1;Lurrus of the Dream-Den;0
1;Hero of Bladehold;0
1;Solitude;0
1;Hive of the Eye Tyrant;0
1;Celestial Colonnade;0
1;Creeping Tar Pit;0
1;Tundra;0
1;Underground Sea;0
1;Spara's Headquarters;0
1;Marsh Flats;0
1;Polluted Delta;0
4;Plains;0
5;Swamp;0
1;Swords to Plowshares;0
1;Legion's Landing;0
1;Bonesplitter;0
1;Hymn to Tourach;0
1;Vanishing Verse;0
1;Bitterblossom;0
1;Council's Judgment;0
1;Liliana of the Veil;0
1;Grafted Wargear;0
1;Sword of Fire and Ice;0
1;Lingering Souls;0
1;Plains;1
1;Chrome Mox;1
1;Bloodsoaked Champion;1
1;Putrid Imp;1
1;Hard Evidence;1
1;Charming Prince;1
1;Woe Strider;1
1;Vendilion Clique;1
1;Monastery Mentor;1
1;Rotting Regisaur;1
1;Blade Splicer;1
1;Opposition;1
1;Yawgmoth, Thran Physician;1
