Number_of_card;Card_name;Is_in_sideboard
1;Elves of Deep Shadow;0
1;Elvish Mystic;0
1;Blood Artist;0
1;Rofellos, Llanowar Emissary;0
1;Eternal Witness;0
1;Llanowar Visionary;0
1;Augur of Autumn;0
1;Tireless Tracker;0
1;Ravenous Chupacabra;0
1;Oracle of Mul Daya;0
1;The Gitrog Monster;0
1;Primeval Titan;0
1;Triplicate Titan;0
1;Ulamog, the Ceaseless Hunger;0
1;Nurturing Peatland;0
1;Ziatora's Proving Ground;0
1;Verdant Catacombs;0
1;Phyrexian Tower;0
1;Ancient Tomb;0
4;Swamp;0
8;Forest;0
1;Fatal Push;0
1;Infernal Grasp;0
1;Survival of the Fittest;0
1;Finale of Devastation;0
1;Liquimetal Torque;0
1;Golgari Signet;0
1;Toxic Deluge;0
1;Maelstrom Pulse;0
1;Garruk Wildspeaker;0
1;Elvish Reclaimer;1
1;Dread Wanderer;1
1;Gutterbones;1
1;Voracious Hydra;1
1;Grim Flayer;1
1;Skyclave Shade;1
1;Bloodghast;1
1;Blade of the Oni;1
1;Persist;1
1;Collective Brutality;1
1;Grist, the Hunger Tide;1
1;Life // Death;1
1;Briarbridge Tracker;1
1;Ranger-Captain of Eos;1
1;Wrath of God;1
1;Grave Titan;1
1;Archon of Cruelty;1
