Number_of_card;Card_name;Is_in_sideboard
1;Vampire Hexmage;0
1;Jadar, Ghoulcaller of Nephalia;0
1;Fauna Shaman;0
1;Melira, Sylvok Outcast;0
1;Lesser Masticore;0
1;Scrapheap Scrounger;0
1;Woe Strider;0
1;Tireless Tracker;0
1;Augur of Autumn;0
1;Ramunap Excavator;0
1;Dryad of the Ilysian Grove;0
1;Lurrus of the Dream-Den;0
1;Yawgmoth, Thran Physician;0
1;The Gitrog Monster;0
1;Windswept Heath;0
1;Thespian's Stage;0
1;Dark Depths;0
6;Forest;0
7;Swamp;0
1;Traverse the Ulvenwald;0
1;Pest Infestation;0
1;Damn;0
1;The Meathook Massacre;0
1;Rakdos Signet;0
1;Grist, the Hunger Tide;0
1;Grafted Wargear;0
1;Blasting Station;0
1;Garruk Wildspeaker;0
1;Smokestack;0
1;Bloodsoaked Champion;1
1;Gravecrawler;1
1;Knight of the Ebon Legion;1
1;Mother of Runes;1
1;Altar of Dementia;1
1;Grim Flayer;1
1;Bloodghast;1
1;Charming Prince;1
1;Vizier of Remedies;1
1;Seasoned Hallowblade;1
1;Mayhem Devil;1
1;Good-Fortune Unicorn;1
1;Vindicate;1
1;Midnight Reaper;1
1;Sedgemoor Witch;1
1;Nahiri, the Harbinger;1
1;Day of Judgment;1
1;Palace Jailer;1
