Number_of_card;Card_name;Is_in_sideboard
1;Stonecoil Serpent;0
1;Sprite Dragon;0
1;Snapcaster Mage;0
1;Hullbreacher;0
1;Sedgemoor Witch;0
1;Glen Elendra Archmage;0
1;Hostage Taker;0
1;Ethereal Forager;0
1;Clearwater Pathway;0
1;Blightstep Pathway;0
1;Fiery Islet;0
1;Badlands;0
1;Ketria Triome;0
1;Bloodstained Mire;0
3;Swamp;0
2;Mountain;0
7;Island;0
1;Unearth;0
1;Faithless Looting;0
1;Unholy Heat;0
1;Retrofitter Foundry;0
1;Chromatic Sphere;0
1;Narset, Parter of Veils;0
1;Fable of the Mirror-Breaker;0
1;Kaito Shizuki;0
1;The Royal Scions;0
1;Dack Fayden;0
1;Prismari Command;0
1;Kolaghan's Command;0
1;Daretti, Ingenious Iconoclast;0
1;Karn, Scion of Urza;0
1;Time Spiral;0
1;Maze of Ith;1
1;Cragcrown Pathway;1
1;Rakdos Cackler;1
1;Cryptbreaker;1
1;Gravecrawler;1
1;Orzhov Signet;1
1;Goblin Engineer;1
1;Sea Gate Stormcaller;1
1;Najeela, the Blade-Blossom;1
1;Midnight Reaper;1
1;Thirst for Discovery;1
1;Deceiver Exarch;1
1;Birthing Pod;1
1;Daretti, Scrap Savant;1
1;Rankle, Master of Pranks;1
1;Yorion, Sky Nomad;1
