Number_of_card;Card_name;Is_in_sideboard
1;Joraga Treespeaker;0
1;Gilded Goose;0
1;Avacyn's Pilgrim;0
1;Elvish Mystic;0
1;Sylvan Caryatid;0
1;Devoted Druid;0
1;Courser of Kruphix;0
1;Oracle of Mul Daya;0
1;Titania, Protector of Argoth;0
1;Carnage Tyrant;0
1;Ulamog, the Infinite Gyre;0
1;Emrakul, the Aeons Torn;0
1;Taiga;0
1;Stomping Ground;0
1;Raging Ravine;0
1;Jetmir's Garden;0
1;Scalding Tarn;0
1;Verdant Catacombs;0
1;Wooded Foothills;0
1;Mountain;0
8;Forest;0
1;Unholy Heat;0
1;Fastbond;0
1;Exploration;0
1;Worldly Tutor;0
1;Survival of the Fittest;0
1;Wrenn and Six;0
1;Gruul Signet;0
1;Worn Powerstone;0
1;Crucible of Worlds;0
1;Sneak Attack;0
1;Nissa, Who Shakes the World;0
1;Ugin, the Spirit Dragon;0
1;Bayou;1
1;Savannah;1
1;Lotus Petal;1
1;Abundant Harvest;1
1;Falkenrath Pit Fighter;1
1;Seal of Fire;1
1;Voracious Hydra;1
1;Young Pyromancer;1
1;Dire Fleet Daredevil;1
1;Kaito Shizuki;1
1;Spike Feeder;1
1;Goblin Rabblemaster;1
1;Teferi, Hero of Dominaria;1
1;Elspeth, Sun's Champion;1
