Number_of_card;Card_name;Is_in_sideboard
1;Wooded Foothills;0
1;Ignoble Hierarch;0
1;Llanowar Elves;0
1;Fyndhorn Elves;0
1;Bloodthirsty Adversary;0
1;Scavenging Ooze;0
1;Devoted Druid;0
1;Hangarback Walker;0
1;Laelia, the Blade Reforged;0
1;Hellrider;0
1;Pia and Kiran Nalaar;0
1;Ulvenwald Oddity;0
1;Questing Beast;0
1;Craterhoof Behemoth;0
1;Lotus Petal;0
1;Lair of the Hydra;0
1;Scrubland;0
1;Sacred Foundry;0
1;Steam Vents;0
1;Taiga;0
1;Windswept Heath;0
1;Misty Rainforest;0
1;Mishra's Factory;0
1;Strip Mine;0
1;Wooded Foothills;0
2;Mountain;0
4;Forest;0
1;Mind Twist;0
1;Tarfire;0
1;Once Upon a Time;0
1;Sylvan Library;0
1;Sulfuric Vortex;0
1;Wheel of Fortune;0
1;Minsc & Boo, Timeless Heroes;0
1;Nissa, Who Shakes the World;0
1;Fireblast;0
1;Horizon Canopy;1
1;Everflowing Chalice;1
1;Falkenrath Pit Fighter;1
1;Monastery Swiftspear;1
1;Duress;1
1;Mother of Runes;1
1;Oust;1
1;Metallic Mimic;1
1;Power Word Kill;1
1;Kitchen Finks;1
1;Recurring Nightmare;1
