Number_of_card;Card_name;Is_in_sideboard
1;Flooded Strand;0
1;Hangarback Walker;0
1;Walking Ballista;0
1;Goblin Welder;0
1;Goblin Engineer;0
1;Heliod, Sun-Crowned;0
1;Emry, Lurker of the Loch;0
1;Golos, Tireless Pilgrim;0
1;Inferno Titan;0
1;Triplicate Titan;0
1;Cave of the Frost Dragon;0
1;Shelldock Isle;0
1;Plateau;0
1;Steam Vents;0
1;Ancient Tomb;0
1;Mishra's Factory;0
1;Flooded Strand;0
1;Plains;0
3;Island;0
4;Mountain;0
1;Mystical Tutor;0
1;Chromatic Star;0
1;Pyrite Spellbomb;0
1;Balance;0
1;Winter Orb;0
1;Azorius Signet;0
1;Prismatic Lens;0
1;Mind Stone;0
1;Orzhov Signet;0
1;Simic Signet;0
1;Tinker;0
1;Dack Fayden;0
1;Memory Deluge;0
1;Daretti, Scrap Savant;0
1;Karn, Scion of Urza;0
1;Engineered Explosives;1
1;Mental Note;1
1;Prismatic Ending;1
1;Grim Monolith;1
1;Putrid Goblin;1
1;Priest of Fell Rites;1
1;Embereth Shieldbreaker;1
1;Ledger Shredder;1
1;Basalt Monolith;1
1;Rotting Regisaur;1
1;Parallax Wave;1
1;Yorion, Sky Nomad;1
1;Treachery;1
