Number_of_card;Card_name;Is_in_sideboard
1;Cryptbreaker;0
1;Carrion Feeder;0
1;Murderous Rider;0
1;Imperial Recruiter;0
1;Luminous Broodmoth;0
1;Ravenous Chupacabra;0
1;Murderous Redcap;0
1;Falkenrath Aristocrat;0
1;Fury;0
1;Elesh Norn, Grand Cenobite;0
1;Myr Battlesphere;0
1;Ulamog, the Ceaseless Hunger;0
1;Brightclimb Pathway;0
1;Godless Shrine;0
1;Silent Clearing;0
1;Sacred Foundry;0
1;Blackcleave Cliffs;0
1;Bloodstained Mire;0
1;Fabled Passage;0
2;Swamp;0
4;Mountain;0
1;Vampiric Tutor;0
1;Unearth;0
1;Malakir Rebirth;0
1;Bloodchief's Thirst;0
1;Faithless Looting;0
1;Flame Slash;0
1;Exhume;0
1;Animate Dead;0
1;Shatterskull Smashing;0
1;Rip Apart;0
1;Liliana of the Veil;0
1;Fable of the Mirror-Breaker;0
1;Kolaghan's Command;0
1;Chandra, Torch of Defiance;0
1;Through the Breach;0
1;Rishadan Port;1
1;Mind Twist;1
1;Growth Spiral;1
1;Eidolon of the Great Revel;1
1;Knight of Autumn;1
1;Briarbridge Tracker;1
1;Rift Bolt;1
1;Sulfuric Vortex;1
1;Hazoret the Fervent;1
1;Ancient Stone Idol;1
1;Dragonlord Atarka;1
