Number_of_card;Card_name;Is_in_sideboard
1;Walking Ballista;0
1;Heliod, Sun-Crowned;0
1;Emry, Lurker of the Loch;0
1;Phyrexian Metamorph;0
1;Urza, Lord High Artificer;0
1;Mishra's Bauble;0
1;Mox Diamond;0
1;Waterlogged Grove;0
1;Raugrin Triome;0
1;Urza's Saga;0
2;Plains;0
11;Island;0
1;Opt;0
1;Consider;0
1;Sensei's Divining Top;0
1;Daze;0
1;Miscalculation;0
1;Prismatic Lens;0
1;Boros Signet;0
1;Grim Monolith;0
1;Selesnya Signet;0
1;Memory Lapse;0
1;Basalt Monolith;0
1;Worn Powerstone;0
1;Cryptic Command;0
1;Memory Deluge;0
1;Force of Will;0
1;Upheaval;0
1;Dig Through Time;0
1;Rishadan Port;1
1;Gaea's Cradle;1
1;Engineered Explosives;1
1;Pyrite Spellbomb;1
1;Joraga Treespeaker;1
1;Carrion Feeder;1
1;Gruul Signet;1
1;Lesser Masticore;1
1;Blasting Station;1
1;Bounding Krasis;1
1;Soulherder;1
1;Teferi, Time Raveler;1
1;Imperial Recruiter;1
1;Gale, Waterdeep Prodigy;1
1;Tinker;1
1;Flickerwisp;1
1;Time Warp;1
1;Emrakul, the Aeons Torn;1
