Number_of_card;Card_name;Is_in_sideboard
1;Arid Mesa;0
1;Thraben Inspector;0
1;Grim Lavamancer;0
1;Figure of Destiny;0
1;Thalia, Guardian of Thraben;0
1;Lion Sash;0
1;Safehold Elite;0
1;White Plume Adventurer;0
1;Seasoned Pyromancer;0
1;Good-Fortune Unicorn;0
1;Luminous Broodmoth;0
1;Palace Jailer;0
1;Archangel of Thune;0
1;Glorybringer;0
1;Branchloft Pathway;0
1;Silent Clearing;0
1;Savannah;0
1;Stomping Ground;0
1;Flooded Strand;0
1;Fabled Passage;0
1;Arid Mesa;0
3;Plains;0
4;Mountain;0
1;Forest;0
1;Portable Hole;0
1;Swift Reconfiguration;0
1;Mana Tithe;0
1;Path to Exile;0
1;Green Sun's Zenith;0
1;Unexpectedly Absent;0
1;Goblin Bombardment;0
1;Bonecrusher Giant;0
1;Eladamri's Call;0
1;Smuggler's Copter;0
1;Chandra, Torch of Defiance;0
1;Darkbore Pathway;1
1;Worldly Tutor;1
1;Noble Hierarch;1
1;Malakir Rebirth;1
1;Altar of Dementia;1
1;Containment Construct;1
1;Outland Liberator;1
1;The Meathook Massacre;1
1;Animate Dead;1
1;Thalia's Lieutenant;1
1;Adanto Vanguard;1
1;Vindicate;1
1;Day of Judgment;1
