Number_of_card;Card_name;Is_in_sideboard
1;Arid Mesa;0
1;Kytheon, Hero of Akros;0
1;Giver of Runes;0
1;Noble Hierarch;0
1;Elves of Deep Shadow;0
1;Ignoble Hierarch;0
1;Lotus Cobra;0
1;Selfless Spirit;0
1;Lion Sash;0
1;White Plume Adventurer;0
1;Thalia, Heretic Cathar;0
1;Laelia, the Blade Reforged;0
1;Erinis, Gloom Stalker;0
1;Lovestruck Beast;0
1;Toski, Bearer of Secrets;0
1;Ulvenwald Oddity;0
1;Mox Diamond;0
1;Sunbaked Canyon;0
1;Temple Garden;0
1;Nurturing Peatland;0
1;Wooded Foothills;0
1;Misty Rainforest;0
1;Strip Mine;0
1;Urza's Saga;0
1;Arid Mesa;0
1;Mountain;0
3;Plains;0
4;Forest;0
1;Swift Reconfiguration;0
1;Retrofitter Foundry;0
1;Eater of Virtue;0
1;Once Upon a Time;0
1;The Wandering Emperor;0
1;Esika's Chariot;0
1;Minsc & Boo, Timeless Heroes;0
1;Phyrexian Tower;1
1;Breeding Pool;1
1;Stonecoil Serpent;1
1;Crop Rotation;1
1;Legion's Landing;1
1;Containment Construct;1
1;Expressive Iteration;1
1;Eladamri's Call;1
1;Uro, Titan of Nature's Wrath;1
1;Bounding Krasis;1
1;Kitchen Finks;1
1;Ranger-Captain of Eos;1
1;Cogwork Librarian;1
