Number_of_card;Card_name;Is_in_sideboard
1;Orcish Lumberjack;0
1;Gilded Goose;0
1;Deathrite Shaman;0
1;Tarmogoyf;0
1;Lotus Cobra;0
1;Lovestruck Beast;0
1;Ramunap Excavator;0
1;Knight of the Reliquary;0
1;Omnath, Locus of Creation;0
1;Titania, Protector of Argoth;0
1;Cave of the Frost Dragon;0
1;Temple Garden;0
1;Tropical Island;0
1;Blood Crypt;0
1;Raging Ravine;0
1;Indatha Triome;0
1;Windswept Heath;0
1;Scalding Tarn;0
1;Misty Rainforest;0
1;Verdant Catacombs;0
1;Prismatic Vista;0
1;Crystal Vein;0
1;Mountain;0
1;Island;0
2;Forest;0
1;Prismatic Ending;0
1;Chain Lightning;0
1;Abundant Harvest;0
1;Growth Spiral;0
1;Wrenn and Six;0
1;Brazen Borrower;0
1;Pest Infestation;0
1;Esika's Chariot;0
1;Garruk, Unleashed;0
1;Arlinn, the Pack's Hope;0
1;Vivien, Monsters' Advocate;0
1;Teferi, Hero of Dominaria;0
1;Elspeth, Sun's Champion;0
1;Treasure Cruise;0
1;Brightclimb Pathway;1
1;Fastbond;1
1;Soul-Scar Mage;1
1;Ponder;1
1;Baleful Strix;1
1;Edge of Autumn;1
1;Crucible of Worlds;1
1;Chord of Calling;1
1;Dryad of the Ilysian Grove;1
