Number_of_card;Card_name;Is_in_sideboard
1;Llanowar Elves;0
1;Fyndhorn Elves;0
1;Birds of Paradise;0
1;Arbor Elf;0
1;Snapcaster Mage;0
1;Blade of the Oni;0
1;Tarmogoyf;0
1;Llanowar Visionary;0
1;Questing Beast;0
1;Phyrexian Metamorph;0
1;Deep Forest Hermit;0
1;Thragtusk;0
1;Craterhoof Behemoth;0
1;Sundering Titan;0
1;Blightsteel Colossus;0
1;Darkbore Pathway;0
1;Barkchannel Pathway;0
1;Tropical Island;0
1;Zagoth Triome;0
1;Misty Rainforest;0
1;Prismatic Vista;0
2;Island;0
3;Swamp;0
5;Forest;0
1;Imperial Seal;0
1;Green Sun's Zenith;0
1;Infernal Grasp;0
1;Dimir Signet;0
1;Show and Tell;0
1;Chord of Calling;0
1;Maelstrom Pulse;0
1;Coalition Relic;0
1;Birthing Pod;0
1;Indatha Triome;1
1;Cragcrown Pathway;1
1;Tolarian Academy;1
1;Rakdos Cackler;1
1;Viscera Seer;1
1;Thought Scour;1
1;Champion of the Parish;1
1;Selesnya Signet;1
1;Boros Signet;1
1;Rofellos, Llanowar Emissary;1
1;Scavenging Ooze;1
1;Liliana, the Last Hope;1
1;Omnath, Locus of Creation;1
1;Time Warp;1
1;Karmic Guide;1
