Number_of_card;Card_name;Is_in_sideboard
1;Jace, Vryn's Prodigy;0
1;Dark Confidant;0
1;Dauthi Voidwalker;0
1;Oona's Prowler;0
1;Rankle, Master of Pranks;0
1;Grave Titan;0
1;Griselbrand;0
1;Archon of Cruelty;0
1;Clearwater Pathway;0
1;Creeping Tar Pit;0
1;Xander's Lounge;0
1;Bloodstained Mire;0
5;Island;0
7;Swamp;0
1;Portent;0
1;Occult Epiphany;0
1;Inquisition of Kozilek;0
1;Thoughtseize;0
1;Lose Focus;0
1;Unmarked Grave;0
1;Hymn to Tourach;0
1;Persist;0
1;Demonic Tutor;0
1;Thirst for Discovery;0
1;Narset, Parter of Veils;0
1;Dismember;0
1;Recurring Nightmare;0
1;Necromancy;0
1;Life // Death;0
1;Dig Through Time;0
1;Ziatora's Proving Ground;1
1;Savai Triome;1
1;Overgrown Tomb;1
1;Lair of the Hydra;1
1;Blightstep Pathway;1
1;Zurgo Bellstriker;1
1;Lightning Bolt;1
1;Dread Wanderer;1
1;Oust;1
1;Metallic Mimic;1
1;Finale of Devastation;1
1;Life from the Loam;1
1;Skyclave Shade;1
1;Leovold, Emissary of Trest;1
1;Tovolar's Huntmaster;1
1;Fireblast;1
1;Time Spiral;1
