Number_of_card;Card_name;Is_in_sideboard
1;Vampire Hexmage;0
1;Jace, Vryn's Prodigy;0
1;Priest of Fell Rites;0
1;Grief;0
1;Golos, Tireless Pilgrim;0
1;Myr Battlesphere;0
1;Karakas;0
1;Godless Shrine;0
1;Overgrown Tomb;0
1;Raffine's Tower;0
1;Xander's Lounge;0
1;Flooded Strand;0
1;Thespian's Stage;0
1;Dark Depths;0
5;Island;0
5;Swamp;0
1;Bloodchief's Thirst;0
1;Vampiric Tutor;0
1;Entomb;0
1;Mystical Tutor;0
1;Portent;0
1;Serum Visions;0
1;Unmarked Grave;0
1;Damn;0
1;Demonic Tutor;0
1;Exhume;0
1;Chart a Course;0
1;Remand;0
1;Necromancy;0
1;Coalition Relic;0
1;Jace, the Mind Sculptor;0
1;Mystic Confluence;0
1;Field of the Dead;1
1;Viscera Seer;1
1;Mind Stone;1
1;Rakdos Signet;1
1;Azorius Signet;1
1;Dimir Signet;1
1;Simic Signet;1
1;Oona's Prowler;1
1;Mana Leak;1
1;Vizier of Remedies;1
1;Balance;1
1;Leovold, Emissary of Trest;1
1;Mayhem Devil;1
1;Cogwork Librarian;1
1;Parallax Wave;1
