Number_of_card;Card_name;Is_in_sideboard
1;Dragon's Rage Channeler;0
1;Young Pyromancer;0
1;Spellseeker;0
1;Venser, Shaper Savant;0
1;Fury;0
1;Wurmcoil Engine;0
1;Elesh Norn, Grand Cenobite;0
1;Murktide Regent;0
1;Ancient Stone Idol;0
1;Ulamog, the Infinite Gyre;0
1;Hall of Storm Giants;0
1;Riverglide Pathway;0
1;Den of the Bugbear;0
1;Volcanic Island;0
1;Scalding Tarn;0
4;Mountain;0
6;Island;0
1;Thought Scour;0
1;Gitaxian Probe;0
1;Strangle;0
1;Dismember;0
1;Counterspell;0
1;Impulse;0
1;Shatterskull Smashing;0
1;Expressive Iteration;0
1;Force of Negation;0
1;Show and Tell;0
1;Frantic Search;0
1;Rift Bolt;0
1;Chandra, Acolyte of Flame;0
1;Sneak Attack;0
1;Through the Breach;0
1;Ash Barrens;1
1;Watery Grave;1
1;Bomat Courier;1
1;Zurgo Bellstriker;1
1;Goblin Welder;1
1;Ephemerate;1
1;Izzet Signet;1
1;Scrapheap Scrounger;1
1;Putrid Goblin;1
1;Murderous Redcap;1
1;Nahiri, the Harbinger;1
1;Splinter Twin;1
1;Snuff Out;1
1;Thragtusk;1
1;Deep Forest Hermit;1
