Number_of_card;Card_name;Is_in_sideboard
1;Ragavan, Nimble Pilferer;0
1;Monastery Swiftspear;0
1;Suspicious Stowaway;0
1;Sea Gate Stormcaller;0
1;Bloodthirsty Adversary;0
1;Earthshaker Khenra;0
1;Cemetery Gatekeeper;0
1;Robber of the Rich;0
1;Dreadhorde Arcanist;0
1;Kari Zev, Skyship Raider;0
1;Hullbreacher;0
1;Bonecrusher Giant;0
1;Riverglide Pathway;0
1;Den of the Bugbear;0
1;Volcanic Island;0
1;Fiery Islet;0
5;Mountain;0
6;Island;0
1;Spell Pierce;0
1;Sleight of Hand;0
1;Opt;0
1;Serum Visions;0
1;Strangle;0
1;Tarfire;0
1;Counterspell;0
1;Lightning Strike;0
1;Reckless Impulse;0
1;Abrade;0
1;Force of Negation;0
1;The Royal Scions;0
1;Fiery Confluence;0
1;Mutavault;1
1;Bonesplitter;1
1;Dauntless Bodyguard;1
1;Elvish Reclaimer;1
1;Gutterbones;1
1;Golgari Signet;1
1;Timetwister;1
1;Adeline, Resplendent Cathar;1
1;Blade Splicer;1
1;Gale, Waterdeep Prodigy;1
1;Eternal Witness;1
1;Master of Death;1
1;Wrath of God;1
1;Arlinn, the Pack's Hope;1
1;Pia and Kiran Nalaar;1
1;Zealous Conscripts;1
