Name;Date;Draft_result;Same_date_different_draft;Victory;Loss;Draw;Score;White;Blue;Black;Red;Green;Aggro;Midrange;Control;Combo;Ramp;In_card_data
4Ccontrol1610draft;16.10.2021;2,1;Draft 1;2;1;0;6.0;0;0;0;0;1;1;1;0;1;1;1
Dimirartifactstwin1610draft;16.10.2021;1,2;Draft 1;1;2;0;3.0;1;0;0;1;1;1;1;0;0;1;1
Jeskaitinker1610draft;16.10.2021;0,2,1;Draft 1;0;2;1;1.5;0;0;1;0;1;1;0;1;0;1;1
Jundsneakyreanimator1610draft;16.10.2021;1,2;Draft 1;1;2;0;3.0;1;1;0;0;0;1;0;1;0;1;1
Rbaggro1610Draft;16.10.2021;2,1;Draft 1;2;1;0;6.0;1;1;0;0;1;0;1;1;1;1;1
Simicramp1610draft;16.10.2021;1,1,1;Draft 1;1;1;1;4.5;1;0;1;1;0;1;0;1;1;0;1
Temurramp1610draft;16.10.2021;3,0;Draft 1;3;0;0;9.0;1;0;1;0;0;1;1;1;1;0;1
Wbaggro1610draft;16.10.2021;1,2;Draft 1;1;2;0;3.0;0;1;0;1;1;0;1;1;1;1;1
Esper210Draft;2.10.2021;1,2;Draft 1;1;2;0;3.0;0;0;0;1;1;1;0;1;1;1;1
OrzhovAggro210Draft;2.10.2021;2,1;Draft 1;2;1;0;6.0;0;1;0;1;1;0;1;1;1;1;1
RakdosSacCheat210Draft;2.10.2021;3,0;Draft 1;3;0;0;9.0;1;1;0;0;1;1;0;1;0;1;1
TemurTempoAggro210Draft;2.10.2021;2,1;Draft 1;2;1;0;6.0;1;0;1;0;0;0;0;1;1;1;1
TemurUpheavalFires210Draft;2.10.2021;1,2;Draft 1;1;2;0;3.0;1;0;1;0;0;1;0;0;1;1;1
4colordarkdepths2011draft;20.11.2021;1,2;Draft 1;1;2;0;3.0;0;0;1;0;0;1;0;1;0;1;1
Abzanmidrange2011draft;20.11.2021;0,3;Draft 1;0;3;0;0.0;0;1;0;1;0;1;0;1;1;1;1
BWmidrange2011Draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;0;1;0;1;1;0;0;1;1;1;1
Jeskaifirstpicks2011draft;20.11.2021;2,1;Draft 1;2;1;0;6.0;0;0;1;0;1;1;1;0;0;1;1
MonoBlueArtifacts2011Draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;1;0;0;1;1;1;0;1;1;0;1
Rakdosaggro2011draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;1;1;0;0;1;0;0;1;1;1;1
RDW2011draft;20.11.2021;3,0;Draft 1;3;0;0;9.0;0;1;0;0;1;0;1;1;1;1;1
Selesnyalandsmidrange2011draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;0;0;1;1;0;1;0;1;1;0;1
SultaiMidrange2011Draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;1;0;0;1;0;1;0;1;1;1;1
WetAbzanmidrange2011draft;20.11.2021;1,1,1;Draft 1;1;1;1;4.5;0;0;0;1;0;1;0;1;1;1;1
4colorsneak611Draft;6.11.2021;3,0;Draft 1;3;0;0;9.0;0;0;0;0;1;1;1;0;0;1;1
5Colorgoodies611Draft;6.11.2021;2,1;Draft 1;2;1;0;6.0;0;0;0;0;0;1;0;1;1;1;1
BRAristocrats611Draft;6.11.2021;1,1,1;Draft 1;1;1;1;4.5;1;1;0;0;1;1;0;1;0;1;1
BWaggro611Draft;6.11.2021;1,2;Draft 1;1;2;0;3.0;0;1;0;1;1;0;1;1;1;1;1
GBReanimator611Draft;6.11.2021;1,2;Draft 1;1;2;0;3.0;1;1;0;1;0;1;0;1;0;1;1
GbwRamp611Draft;6.11.2021;0,3;Draft 1;0;3;0;0.0;0;1;0;1;0;1;0;1;1;1;1
UWcontrol611Draft;6.11.2021;2,1;Draft 1;2;1;0;6.0;0;0;1;1;1;1;1;0;1;1;1
WhiteWeenie611Draft;6.11.2021;1,1,1;Draft 1;1;1;1;4.5;0;1;1;1;1;0;1;1;1;1;1
4colorreanimator1112draft;11.12.2021;1,1,1;Draft 1;1;1;1;4.5;0;0;0;0;1;1;0;1;0;1;1
BUGopposition1112draft;11.12.2021;1,2;Draft 1;1;2;0;3.0;1;0;0;1;0;1;0;1;1;1;1
